EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
7 0, 4, 1,,,, lab004-074, 3,,,, 0.000345,0.0003731251
8 0, 4, 1,,,, lab004-074, 3,,,, 0.000371,0.0003859997
8, 0, 4, 1, -635888224,,,, (null), 4197558,,,, 0.000414,0.0004389286
8 0, 4, 1,,,, lab004-074, 1,,,, 0.000318,0.0003359318
8 0, 4, 1,,,, lab004-074, 2,,,, 0.000399,0.0004160404
9 0, 4, 1,,,, lab004-074, 2,,,, 0.000579,0.0005970001
9 0, 4, 1,,,, lab004-074, 3,,,, 0.000583,0.0006000996
9, 0, 4, 1, -1898255456,,,, (null), 4197558,,,, 0.000502,0.0005328655
9 0, 4, 1,,,, lab004-074, 1,,,, 0.000568,0.0005879402
10 0, 4, 1,,,, lab004-074, 2,,,, 0.000351,0.0003678799
10 0, 4, 1,,,, lab004-074, 3,,,, 0.000529,0.0005459785
10, 0, 4, 1, -2107048528,,,, (null), 4197558,,,, 0.000428,0.0004529953
10 0, 4, 1,,,, lab004-074, 1,,,, 0.000484,0.0005011559
