EXPERIMENT, BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
5, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000240,0.0002632141
5, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000242,0.0002632141
5, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000527,0.0005450249
5, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000279,0.0002939701
6, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000206,0.0002229214
6, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000251,0.0002689362
6, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000661,0.0006790161
6, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000218,0.0002369881
7, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000218,0.0002360344
7, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000241,0.0002570152
7, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000118,0.0001330376
7, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000578,0.0005929470
8, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000243,0.0002610683
8, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000226,0.0002439022
8, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000633,0.0006489754
8, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000137,0.0001509190
9, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000233,0.0002501011
9, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000199,0.0002169609
9, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000445,0.0004589558
9, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000403,0.0004179478
10, ,4, 1000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000223,0.0002410412
10, ,4, 1000,100,, SR,lab004-074, 0, 0, 2, 2, 0.000226,0.0002450943
10, ,4, 1000,100,, SR,lab004-074, 1, 1, 3, 4, 0.000243,0.0002579689
10, ,4, 1000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000657,0.0006752014
1, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000071,0.0000870228
1, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000060,0.0000770092
1, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000062,0.0000760555
1, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000464,0.0004777908
2, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000065,0.0000801086
2, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000118,0.0001361370
2, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000217,0.0002329350
2, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000310,0.0003240108
3, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000067,0.0000848770
3, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000091,0.0001449585
3, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000062,0.0000929832
3, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000431,0.0004451275
4, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000070,0.0000910759
4, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000068,0.0000910759
4, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000533,0.0005519390
4, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000075,0.0000891685
5, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000064,0.0000820160
5, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000070,0.0000870228
5, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000066,0.0000801086
5, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000455,0.0004701614
6, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000102,0.0001170635
6, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000060,0.0000770092
6, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000423,0.0004379749
6, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000223,0.0002379417
7, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000099,0.0001158714
7, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000065,0.0000820160
7, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000482,0.0004971027
7, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000072,0.0000860691
8, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000085,0.0001029968
8, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000067,0.0000820160
8, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000467,0.0004799366
8, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000064,0.0000779629
9, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000057,0.0000739098
9, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000102,0.0001189709
9, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000515,0.0005290508
9, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000065,0.0000889301
10, ,4, 1, 100,, RS, lab004-074, 2, 2, 0, 2, 0.000069,0.0000879765
10, ,4, 1,100,, SR,lab004-074, 0, 0, 2, 2, 0.000072,0.0000889301
10, ,4, 1,100,, SR,lab004-074, 1, 1, 3, 4, 0.000419,0.0004360676
10, ,4, 1, 100,, RS, lab004-074, 3, 3, 1, 4, 0.000056,0.0000700951
1, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.323304,3.3233320713
1, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.324120,3.3241498470
1, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.374474,3.3745129108
1, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.378474,3.3785028458
1, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.375143,3.3751668930
1, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.379002,3.3790211678
1, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.427102,3.4271318913
1, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.427738,3.4277579784
2, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.153464,3.1534919739
2, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.153209,3.1532390118
2, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.385172,3.3852109909
2, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.384915,3.3849420547
2, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.391723,3.3917441368
2, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.391437,3.3914749622
2, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.426740,3.4267599583
2, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.426703,3.4267318249
3, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.320889,3.3209300041
3, ,8, 1000000,100,, SR,lab004-074, 3, 3, 7, 10, 3.321084,3.3211119175
3, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.392882,3.3929069042
3, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.392948,3.3929688931
3, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.412446,3.4124689102
3, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.412455,3.4124751091
3, ,8, 1000000, 100,, RS, lab004-075, 6, 6, 2, 8, 3.425845,3.4258658886
3, ,8, 1000000,100,, SR,lab004-074, 2, 2, 6, 8, 3.425948,3.4259669781
4, ,8, 1000000, 100,, RS, lab004-075, 4, 4, 0, 4, 3.394537,3.3945779800
4, ,8, 1000000,100,, SR,lab004-074, 0, 0, 4, 4, 3.394723,3.3947510719
4, ,8, 1000000, 100,, RS, lab004-075, 5, 5, 1, 6, 3.410656,3.4106810093
4, ,8, 1000000,100,, SR,lab004-074, 1, 1, 5, 6, 3.410929,3.4109489918
4, ,8, 1000000, 100,, RS, lab004-075, 7, 7, 3, 10, 3.415189,3.4152090549
