EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000269413,,
1, 1, 4, 1,,,, lab004-074, 1,,,, 0.0003218651,,
1, 1, 4, 1,,,, lab004-074, 2,,,, 0.0003130436,,
2, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000281334,,
2, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000679493,,
2, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000700951,,
2, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000221729,,
3, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000398159,,
3, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000309944,,
3, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000300407,,
3, 1, 4, 1,,,, lab004-074, 3,,,, 0.0004210472,,
4, 1, 4, 1,,,, lab004-074, 2,,,, 0.0003240108,,
4, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000247955,,
4, 1, 4, 1,,,, lab004-074, 1,,,, 0.0003299713,,
4, 1, 4, 1,,,, lab004-074, 3,,,, 0.0003290176,,
5, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000240803,,
5, 1, 4, 1,,,, lab004-074, 2,,,, 0.0001060963,,
5, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000288486,,
5, 1, 4, 1,,,, lab004-074, 3,,,, 0.0002558231,,
6, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000259876,,
6, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000329018,,
6, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000300407,,
6, 1, 4, 1,,,, lab004-074, 3,,,, 0.0004639626,,
7, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000770092,,
7, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000240803,,
7, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000529289,,
7, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000319481,,
8, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000281334,,
8, 1, 4, 1,,,, lab004-074, 1,,,, 0.0001230240,,
8, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000200272,,
8, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000200272,,
9, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000419617,,
9, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000309944,,
9, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000519753,,
9, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000228882,,
10, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000240803,,
10, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000269413,,
10, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000319481,,
10, 1, 4, 1,,,, lab004-074, 3,,,, 0.0004668236,,
1, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0004389286,,
1, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0004680157,,
1, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0005118847,,
1, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0010540485,,
1, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0014078617,,
1, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0017960072,,
1, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0021848679,,
1, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0021061897,,
2, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0004439354,,
2, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0004580021,,
2, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0004591942,,
2, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0010190010,,
2, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0014538765,,
2, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0019869804,,
2, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0017690659,,
2, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0021369457,,
3, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0003859997,,
3, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0003859997,,
3, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0003979206,,
3, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0009989738,,
3, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0013799667,,
3, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0017778873,,
3, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0019819736,,
3, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0021491051,,
4, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0003998280,,
4, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0003721714,,
4, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0003879070,,
4, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0009930134,,
4, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0013678074,,
4, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0016760826,,
4, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0020549297,,
4, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0018968582,,
5, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0004050732,,
5, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0004119873,,
5, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0004041195,,
5, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0010211468,,
5, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0013699532,,
5, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0017249584,,
5, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0019397736,,
5, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0020949841,,
6, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0004510880,,
6, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0004329681,,
6, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0004568100,,
6, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0010278225,,
6, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0013840199,,
6, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0017278194,,
6, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0021739006,,
6, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0020229816,,
7, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0003259182,,
7, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0003919601,,
7, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0003559589,,
7, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0007100105,,
7, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0010681152,,
7, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0014572144,,
7, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0019907951,,
7, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0018568039,,
8, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0004179478,,
8, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0004189014,,
8, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0004239082,,
8, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0009799004,,
8, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0013108253,,
8, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0016880035,,
8, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0020139217,,
8, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0019879341,,
9, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0003829002,,
9, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0003979206,,
9, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0003991127,,
9, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0013520718,,
9, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0017371178,,
9, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0021109581,,
9, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0020048618,,
9, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0025010109,,
10, 0, 8, 1,,,R, lab004-074, 2,,,, 0.0003798008,,
10, 0, 8, 1,,,R, lab004-074, 3,,,, 0.0003728867,,
10, 0, 8, 1,,,R, lab004-074, 1,,,, 0.0003511906,,
10, 0, 8, 1,,,R, lab004-075, 4,,,, 0.0009901524,,
10, 0, 8, 1,,,R, lab004-075, 5,,,, 0.0013318062,,
10, 0, 8, 1,,,R, lab004-075, 6,,,, 0.0016608238,,
10, 0, 8, 1,,,S, lab004-074, 0,,,, 0.0019950867,,
10, 0, 8, 1,,,R, lab004-075, 7,,,, 0.0021100044,,
1, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005121231,,
1, 1, 8, 1,,,, lab004-075, 7,,,, 0.0003769398,,
1, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005159378,,
1, 1, 8, 1,,,, lab004-075, 4,,,, 0.0003869534,,
