EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
9, 0, 4, 1000,,,R, lab004-074, 3,,,, 0.0003640652,
9, 0, 4, 1000,,,S, lab004-074, 0,,,, 0.0000441074,
9, 0, 4, 1000,,,R, lab004-074, 1,,,, 0.0003528595,
10, 0, 4, 1000,,,R, lab004-074, 2,,,, 0.0002789497,
10, 0, 4, 1000,,,R, lab004-074, 3,,,, 0.0002489090,
10, 0, 4, 1000,,,S, lab004-074, 0,,,, 0.0000250340,
10, 0, 4, 1000,,,R, lab004-074, 1,,,, 0.0002770424,
1, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0003271103,
1, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0003252029,
1, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000259876,
1, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0003230572,
2, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0003449917,
2, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0003249645,
2, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000228882,
2, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0003609657,
3, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000219345,
3, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0000171661,
3, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0000228882,
3, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0000171661,
4, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0000178814,
4, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000240803,
4, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0000209808,
4, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0000181198,
5, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0000548363,
5, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0000510216,
5, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000219345,
5, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0000181198,
6, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0003230572,
6, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000238419,
6, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0003318787,
6, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0003330708,
7, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0000569820,
7, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000228882,
7, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0000319481,
7, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0000181198,
8, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0000669956,
8, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000221729,
8, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0001888275,
8, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0002329350,
9, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0003020763,
9, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0003058910,
9, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000228882,
9, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0003020763,
10, 0, 4, 100,,,R, lab004-074, 3,,,, 0.0000250340,
10, 0, 4, 100,,,S, lab004-074, 0,,,, 0.0000221729,
10, 0, 4, 100,,,R, lab004-074, 2,,,, 0.0000388622,
10, 0, 4, 100,,,R, lab004-074, 1,,,, 0.0000159740,
1, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0001330376,
1, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000801086,
1, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000221729,
1, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0001189709,
2, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000209808,
2, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0001130104,
2, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000150204,
2, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000319481,
3, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000319481,
3, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000219345,
3, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0000150204,
3, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000178814,
4, 0, 4, 10,,,R, lab004-074, 3,,,, 0.0000400543,
4, 0, 4, 10,,,S, lab004-074, 0,,,, 0.0000209808,
4, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000491142,
4, 0, 4, 10,,,R, lab004-074, 1,,,, 0.0000147820,
5, 0, 4, 10,,,R, lab004-074, 2,,,, 0.0000541210,
