EXPERIMENT, BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0050427914, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0048229694, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0041780472, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0041770935, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0049920082, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047509670, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042459965, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042438507, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0049200058, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046792030, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042259693, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042259693, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046679974, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048980713, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0043640137, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0043630600, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0043020248, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0043051243, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0050010681, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047321320, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042350292, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042340755, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046849251, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048620701, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0041570663, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0041561127, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047619343, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0049390793, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0041871071, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0041859150, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0049691200, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047399998, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042080879, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042099953, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046670437, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048980713, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0041799545, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0041799545, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048930645, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046730042, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0043578148, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0043601990, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0044009686, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0044031143, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047428608, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0050470829, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042140484, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042119026, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048208237, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046899319, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0041620731, 
