EXPERIMENT, BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
6, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0096178055
6, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0093240738
7, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0091640949
7, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0091829300
7, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0093319416
7, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0095629692
8, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0091960430
8, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0091979504
8, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0096240044
8, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0093491077
9, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0091941357
9, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0092141628
9, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0093481541
9, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0096459389
10, ,4, 1000000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0091960430
10, ,4, 1000000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0092229843
10, ,4, 1000000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0093238354
10, ,4, 1000000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0096151829
1, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002450943
1, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002441406
1, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0012199879
1, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0002830029
2, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002410412
2, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002419949
2, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0006811619
2, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002350807
3, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002701283
3, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002470016
3, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0004248619
3, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0004048347
4, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002419949
4, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0003468990
4, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0004270077
